ID	EntryID	rc100
78-agyag-1	78-agyag	^(a|o|aɣ|ɒ|aw|ul)?(d͡ʒʲ|d|ɟ|t͡ʃ)(a|o|aɣ|ɒ|aw|ul)?(ɡ|k)(i)?$
291-apaca-1	291-apaca	^(a|o|aɣ|ɒ|aw|ul)?(p|pu|pi)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(s|t͡ʃ|z|k)(a)$
296-apat-1	296-apat	^(a|o|aɣ|ɒ|aw|ul)?(p|pu|pi)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(t|k|dø)(i)?$
356-artany-1	356-artany	^(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(r)(t|k|dø)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(n|m|ɲ)$
475-bagoly-1	475-bagoly	^(b|p)(a|o)(ɡ|k)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(l|j|ɣ|ja|ji|li)?$
498-bako-1	498-bako	^(b|p)(a|o|aɣ|ɒ|aw|ul)?(k|kɛ|ɡ)(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)(i)?$
504-bal-1	504-bal	^(b|p)(a|o|aɣ|ɒ|aw|ul)?(l|rl|n|k|j)?(i|y|ɛ|iɣ|u|øk|at|ɛk)?$
531-ban-1	531-ban	^(b|p)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(n|møn)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
604-batya-1	604-batya	^(b|p)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(t)(a|o|aɣ|ɒ|aw|ul)?(i|y|ɛ|iɣ|u)?$
621-beco-1	621-beco	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(s|t͡ʃ|z|k)(ɛɣ|ɛw|iɣ|ø|ɛy|y|ɛɣy|yː|ɛwi|ɛ|øː)(i)?$
632-begy-1	632-begy	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(d͡ʒʲ|d|ɟ|t͡ʃ)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
663-ber-1	663-ber	^(b|p)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(r|ri|ra|ru|ro|ry)?(i|y|ɛ|iɣ)?$
671-berek-1	671-berek	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(r|ri|ra)?(ɛ|i|y|ɛɣ|ø|a)(k|kɛ|ɡ)$
682-bese-1	682-bese	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(ʃ|t͡ʃ|s|ɣ)(ɛ|i|y|ɛɣ|ø|a)(i|y)?$
