ID,rc,Meaning
Hungarian-96-liefern-1,"#ɒ, d# not old",liefern
Hungarian-97-lassen-1,"#ɒ, d# not old",lassen
Hungarian-98-verkaufen-1,"#ɒ, d# not old",verkaufen
Hungarian-99-veroffentlichen-1,"#ɒ, d# not old",veröffentlichen
Hungarian-100-Geben-1,"#ɒ, d# not old",Geben
Hungarian-101-Beleg-1,"#ɒ, d# not old",Beleg
Hungarian-102-Angabe-1,"#ɒ, d# not old",Angabe
Hungarian-103-Gesetzgeber-1,"#ɒ, d# not old",Gesetzgeber
Hungarian-104-Herausgeber-1,"#ɒ, d# not old",Herausgeber
Hungarian-105-alsTeileinesSchimpfw-1,"#ɒ, d# not old",als Teil eines Schimpfw
Hungarian-106-Tradition-1,"#ɒ, d# not old",Tradition
Hungarian-107-Beitrag-1,"#ɒ, d# not old",Beitrag
Hungarian-108-Adamsapfel-1,wrong year,Adamsapfel
Hungarian-109-Adamskostum-1,"m.k, s.t not old",Adamskostüm
Hungarian-110-wuten-1,^(a) (d|y|ɛ) (a|ɯ|aː) (z|a) (i|ɯ) ?(k)? ?(ɛ r)?$,wüten
Hungarian-111-wutendmachen-1,^(a) (d|y|ɛ) (a|ɯ|aː) (z|a) (i|ɯ) ?(k)? ?(ɛ r)?$,wütend machen
Hungarian-112-sichsehnen-1,^(a) (d|y|ɛ) (a|ɯ|aː) (z|a) (i|ɯ) ?(k)? ?(ɛ r)?$,sich sehnen
Hungarian-113-herumirren-1,^(a) (d|y|ɛ) (a|ɯ|aː) (z|a) (i|ɯ) ?(k)? ?(ɛ r)?$,herumirren
Hungarian-114-Adjunkt-1,wrong year,Adjunkt
Hungarian-115-OberassistentakademischerodartzlicherRang-1,wrong year,Oberassistent akademischer od ärtzlicher Rang
Hungarian-116-herrichten-1,wrong year,herrichten
Hungarian-117-ausrusten-1,wrong year,ausrüsten
Hungarian-118-richtigstellen-1,wrong year,richtigstellen
Hungarian-119-gefugigmachen-1,wrong year,gefügig machen
Hungarian-120-Adjutant-1,wrong year,Adjutant
Hungarian-121-Verwalter-1,"#ɒ, s.t.r not old",Verwalter
Hungarian-122-Ablieferer-1,"#ɒ, s.t.r not old",Ablieferer
Hungarian-123-Sachbearbeiter-1,"#ɒ, s.t.r not old",Sachbearbeiter
Hungarian-124-Admiral-1,wrong year,Admiral
Hungarian-125-Steuer-1,"#ɒ, oː# not old",Steuer
Hungarian-126-Abgabe-1,"#ɒ, oː# not old",Abgabe
Hungarian-127-Schuldner-1,"#ɒ, oː# not old",Schuldner
Hungarian-128-Anekdote-1,wrong year,Anekdote
Hungarian-129-adoptieren-1,wrong year,adoptieren
Hungarian-130-annehmen-1,wrong year,annehmen
Hungarian-131-genehmigen-1,wrong year,genehmigen
Hungarian-132-adressieren-1,wrong year,adressieren
Hungarian-133-Trumpf-1,wrong year,Trumpf
Hungarian-134-FastenvoreinemFest-1,"#ɒ, d.v, n.t# not old",Fasten vor einem Fest
Hungarian-135-Advent-1,"#ɒ, d.v, n.t# not old",Advent
Hungarian-136-heucheln-1,"#ɒ, fː, k.t not old",heucheln
Hungarian-137-nachahmen-1,"#ɒ, fː, k.t not old",nachahmen
Hungarian-138-sichanetwergotzen-1,"#ɒ, fː, k.t not old",sich an etw ergötzen
Hungarian-139-affektieren-1,"#ɒ, fː, k.t not old",affektieren
Hungarian-140-Affare-1,wrong year,Affäre
Hungarian-141-Ehrenaffare-1,wrong year,Ehrenaffäre
Hungarian-142-Duell-1,wrong year,Duell
Hungarian-143-Stechapfel-1,"f, i.u not old",Stechapfel
Hungarian-144-Opium-1,"f, i.u not old",Opium
Hungarian-145-Heidelbeerestrauch-1,wrong year,Heidelbeerestrauch
Hungarian-146-Heidelbeere-1,wrong year,Heidelbeere
Hungarian-147-SeegrasalsPolstermittel-1,wrong year,Seegras als Polstermittel
Hungarian-148-Fluarm-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Flußarm
Hungarian-149-Ast-1,^(a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Ast
