ID,rc,Meaning
Hungarian-12925-hetzen-2,wrong year,hetzen
Hungarian-12926-jagen-3,wrong year,jagen
Hungarian-12927-treiben-3,wrong year,treiben
Hungarian-12928-Hutte-3,j.l not old,Hütte
Hungarian-12929-Obdach-1,j.l not old,Obdach
Hungarian-12930-Wohnung-1,j.l not old,Wohnung
Hungarian-12931-Beuge-1,j.l not old,Beuge
Hungarian-12932-Krummung-1,j.l not old,Krümmung
Hungarian-12933-Tagesanbruch-1,j.n not old,Tagesanbruch
Hungarian-12934-Morgenrot-1,j.n not old,Morgenrot
Hungarian-12935-Abenddammerung-1,j.n not old,Abenddämmerung
Hungarian-12936-Morgensignal-1,j.n not old,Morgensignal
Hungarian-12937-WecksignalmitGesangundMusic-1,j.n not old,Wecksignal mit Gesang und Music
Hungarian-12938-larmenderAufzugderHochzeitsgastemitMusicamMorgennachderHochzeit-1,j.n not old,lärmender Aufzug der Hochzeitsgäste mit Music am Morgen nach der Hochzeit
Hungarian-12939-Luftschiff-3,oː# not old,Luftschiff
Hungarian-12940-Kahn-3,oː# not old,Kahn
Hungarian-12941-Schiff-1,oː# not old,Schiff
Hungarian-12942-SchiffinderKirche-1,oː# not old,Schiff in der Kirche
Hungarian-12943-hajozhato-1,oː# not old,hajózható
Hungarian-12944-hajovalkapcsolatos-1,oː# not old,hajóval kapcsolatos
Hungarian-12945-arravonatkozo-1,oː# not old,arra vonatkozó
Hungarian-12946-los-3,wrong year,los
Hungarian-12947-derRufhajrabzwErmundterungdurchdiesesWort-1,wrong year,der Ruf hajrá bzw Ermundterung durch dieses Wort
Hungarian-12948-Hetze-1,wrong year,Hetze
Hungarian-12949-Hetzjagd-1,wrong year,Hetzjagd
Hungarian-12950-Enpurt-1,wrong year,Enpurt
Hungarian-12951-drauflos-1,wrong year,drauflos
Hungarian-12952-Hetze-2,j.s# not old,Hetze
Hungarian-12953-hubzwhott-1,j.s# not old,hü bzw hott
Hungarian-12954-Gejage-1,j.s# not old,Gejage
Hungarian-12955-sichumetwkummern-4,j.t# not old,sich um etw kümmern
Hungarian-12956-unterwerfen-3,j.t# not old,unterwerfen
Hungarian-12957-biegen-1,j.t# not old,biegen
Hungarian-12958-bogenformigumbiegen-1,j.t# not old,bogenförmig umbiegen
Hungarian-12959-ausleeren-1,j.t# not old,ausleeren
Hungarian-12960-Wegfuhren-1,j.t# not old,Weg führen
Hungarian-12961-jemandemgewogensein-1,j.t# not old,jemandem gewogen sein
Hungarian-12962-etweinreichnen-1,j.t# not old,etw einreichnen
Hungarian-12963-falten-1,j.t# not old,falten
Hungarian-12964-zusammenfalten-1,j.t# not old,zusammenfalten
Hungarian-12965-zuhoren-1,j.t# not old,zuhören
Hungarian-12966-zuhoren-2,j.t# not old,zuhören
Hungarian-12967-willfahren-1,j.t# not old,willfahren
Hungarian-12968-willfahren-2,j.t# not old,willfahren
Hungarian-12969-beachten-1,j.t# not old,beachten
Hungarian-12970-wiederholen-1,j.t# not old,wiederholen
Hungarian-12971-Deklination-1,j.t# not old,Deklination
Hungarian-12972-bewegen-2,j.t# not old,bewegen
Hungarian-12973-dringen-2,j.t# not old,dringen
Hungarian-12974-treiben-4,j.t# not old,treiben
Hungarian-12975-antreiben-3,j.t# not old,antreiben
Hungarian-12976-antreiben-4,j.t# not old,antreiben
Hungarian-12977-sichabrackern-2,j.t# not old,sich abrackern
Hungarian-12978-Viehtreiber-3,j.t# not old,Viehtreiber
Hungarian-12979-inBewegungsetzen-1,j.t# not old,in Bewegung setzen
Hungarian-12980-halten-1,j.t# not old,halten
Hungarian-12981-zuetwasbewegen-1,j.t# not old,zu etwas bewegen
Hungarian-12982-Schuldeneintreiben-1,j.t# not old,Schulden eintreiben
Hungarian-12983-einbringen-1,j.t# not old,einbringen
Hungarian-12984-eineMaschineinBetriebhalten-1,j.t# not old,eine Maschinein Betrieb halten
Hungarian-12985-Darminhalt-1,j.t# not old,Darminhalt
Hungarian-12986-Urinabfuhren-1,j.t# not old,Urinabführen
Hungarian-12987-fahrenalsTransitiv-1,j.t# not old,fahrenals Transitiv
Hungarian-12988-fahrenalsIntransitiv-1,j.t# not old,fahren als Intransitiv
Hungarian-12989-sichstrapazieren-1,j.t# not old,sich strapazieren
Hungarian-12990-sichschinden-1,j.t# not old,sich schinden
Hungarian-12991-allatterelo-1,j.t# not old,állatterelő
Hungarian-12992-hajcsar-1,j.t# not old,hajcsár
Hungarian-12993-Kutscher-1,j.t# not old,Kutscher
Hungarian-12994-sprossen-3,wrong year,sprossen
Hungarian-12995-treibenPflanze-1,wrong year,treiben Pflanze
Hungarian-12996-narrisch-5,wrong year,närrisch
Hungarian-12997-empfindlich-3,wrong year,empfindlich
Hungarian-12998-wahlerisch-2,wrong year,wählerisch
Hungarian-12999-heikel-1,wrong year,heikel
Hungarian-13000-prahlerisch-1,wrong year,prahlerisch
Hungarian-13001-launisch-1,wrong year,launisch
Hungarian-13002-norgelnd-1,wrong year,nörgelnd
Hungarian-13003-sichuberKleinigkeitenaufhaltendPerson-1,wrong year,sich über Kleinigkeiten aufhaltend Person
Hungarian-13004-sichrauspern-2,^(χ) (a|ɯ|aː) (k|kː) (o|u|a) (ɡ|k) ?(ɛ r|a n)?$,sich räuspern
Hungarian-13005-schnattern-2,^(χ) (a|ɯ|aː) (k|kː) (o|u|a) (ɡ|k) ?(ɛ r|a n)?$,schnattern
Hungarian-13006-spucken-2,^(χ) (a|ɯ|aː) (k|kː) (o|u|a) (ɡ|k) ?(ɛ r|a n)?$,spucken
Hungarian-13007-ausspeisen-1,^(χ) (a|ɯ|aː) (k|kː) (o|u|a) (ɡ|k) ?(ɛ r|a n)?$,ausspeisen
Hungarian-13008-krachzen-1,^(χ) (a|ɯ|aː) (k|kː) (o|u|a) (ɡ|k) ?(ɛ r|a n)?$,krächzen
Hungarian-13009-sichrauspern-3,wrong year,sich räuspern
Hungarian-13010-ausspeisen-2,wrong year,ausspeisen
Hungarian-13011-ermatten-3,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,ermatten
Hungarian-13012-erschlaffen-4,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,erschlaffen
Hungarian-13013-erstarren-3,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,erstarren
Hungarian-13014-sterben-3,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,sterben
Hungarian-13015-sichzubewegenaufhoren-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,sich zu bewegen aufhören
Hungarian-13016-absterben-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,absterben
Hungarian-13017-verkummernTeileinesOrganismus-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,verkümmern Teil eines Organismus
Hungarian-13018-dieTatkraftverlieren-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,die Tatkraft verlieren
Hungarian-13019-auerGebrauchkommenGegenstand-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,außer Gebrauch kommen Gegenstand
Hungarian-13020-ohnmachtigwerden-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,ohnmächtig werden
Hungarian-13021-inetwasaufgehen-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,in etwas aufgehen
Hungarian-13022-sichinetwasverlieren-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,sich in etwas verlieren
Hungarian-13023-aussterben-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,aussterben
Hungarian-13024-zugunstenjemandesTestamentmachen-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,zugunsten jemandes Testament machen
Hungarian-13025-Tote-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Tote
Hungarian-13026-meghalas-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,meghalás
Hungarian-13027-halal-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,halál
Hungarian-13028-halhatatlansag-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,halhatatlanság
Hungarian-13029-sterblich-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,sterblich
Hungarian-13030-ausdemTod-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,aus dem Tod
Hungarian-13031-Fisch-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Fisch
Hungarian-13032-unerfahrenerMensch-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,unerfahrener Mensch
Hungarian-13033-Anfanger-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Anfänger
Hungarian-13034-Fischer-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Fischer
Hungarian-13035-fischen-1,^(χ) (a) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,fischen
Hungarian-13036-schlafen-4,^(χ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,schlafen
Hungarian-13037-schlafen-5,^(χ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,schlafen
Hungarian-13038-ubernachten-1,^(χ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,übernachten
Hungarian-13039-ubernachten-2,^(χ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,übernachten
Hungarian-13040-Geschlechtsverkehrausuben-1,^(χ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Geschlechtsverkehr ausüben
Hungarian-13041-Schlafzimmer-1,^(χ) (a|ɯ|aː) (l|γ) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Schlafzimmer
Hungarian-13042-Dank-1,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Dank
Hungarian-13043-Danksagung-1,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Danksagung
Hungarian-13044-Danksagung-2,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Danksagung
Hungarian-13045-dankbar-1,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,dankbar
Hungarian-13046-halaadas-1,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,hálaadás
Hungarian-13047-halatlan-1,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,hálátlan
Hungarian-13048-halatlansag-1,^(χ) (a|ɯ|aː) (l|l.t) (a) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,hálátlanság
Hungarian-13049-vergehenZeit-2,d# not old,vergehenZeit
Hungarian-13050-Lebewesenvorwartsgehen-1,d# not old,Lebewesen vorwärtsgehen
Hungarian-13051-sichverzogern-1,d# not old,sich verzögern
Hungarian-13052-aufgeschobenwerden-1,d# not old,aufgeschoben werden
Hungarian-13053-ubersteigen-1,d# not old,übersteigen
Hungarian-13054-vorwartsschreiten-1,d# not old,vorwärtsschreiten
Hungarian-13055-Weguswnebenetwasvorbeigehen-1,d# not old,Weg usw neben etwas vorbeigehen
Hungarian-13056-afejlodesbenelenjaro-1,d# not old,a fejlődésben élenjáró
Hungarian-13057-undankbar-1,t.l not old,undankbar
Hungarian-13058-undankbar-2,t.l not old,undankbar
Hungarian-13059-undankbar-3,t.l not old,undankbar
Hungarian-13060-nichtlohnend-1,t.l not old,nicht lohnend
Hungarian-13061-wassichnichtlohnt-1,t.l not old,was sich nicht lohnt
Hungarian-13062-Kauderwelsch-2,wrong year,Kauderwelsch
Hungarian-13063-itscherzweiseerfundenen-1,wrong year,it scherzweise erfundenen
Hungarian-13064-sinnlosenWorterngemischelteodervolligsinnlose-1,wrong year,sinnlosen Wörtern gemischelte oder völlig sinnlose
Hungarian-13065-unverstandlicheRede-1,wrong year,unverständliche Rede
Hungarian-13066-irgendeineFremprachedemKlangnachscherzweisenachahmende-1,wrong year,irgendeine Fremprache dem Klang nach scherzweise nachahmende
Hungarian-13067-sinnloseRede-1,wrong year,sinnlose Rede
Hungarian-13068-leeresGeschwatz-1,wrong year,leeres Geschwätz
Hungarian-13069-Umschweif-1,wrong year,Umschweif
Hungarian-13070-verworrener-1,wrong year,verworrener
Hungarian-13071-gekunstelter-1,wrong year,gekünstelter
Hungarian-13072-schwerverstandlicherTexteinerFachsprache-1,wrong year,schwerverständlicher Text einer Fachsprache
Hungarian-13073-schwach-4,wrong year,schwach
Hungarian-13074-Schlafe-1,wrong year,Schläfe
Hungarian-13075-schwachgesponnen-1,wrong year,schwach gesponnen
Hungarian-13076-sichfaserndGarn-1,wrong year,sich fasernd Garn
Hungarian-13077-eineInterjektion-7,wrong year,eine Interjektion
Hungarian-13078-Filzstiefel-2,wrong year,Filzstiefel
Hungarian-13079-BauernmantelausfilzartigemTuch-1,wrong year,Bauernmantel aus filzartigem Tuch
Hungarian-13080-filzartigesTuch-1,wrong year,filzartiges Tuch
Hungarian-13081-Halina-1,wrong year,Halina
Hungarian-13082-Oberkleid-1,wrong year,Oberkleid
Hungarian-13083-leise-2,l.k# not old,leise
Hungarian-13084-leise-3,l.k# not old,leise
Hungarian-13085-langsam-3,l.k# not old,langsam
Hungarian-13086-langsam-4,l.k# not old,langsam
Hungarian-13087-mild-1,l.k# not old,mild
Hungarian-13088-Falz-3,wrong year,Falz
Hungarian-13089-Kerbe-3,wrong year,Kerbe
Hungarian-13090-Span-2,wrong year,Span
Hungarian-13091-zuhoren-3,lː# not old,zuhören
Hungarian-13092-willfahren-3,lː# not old,willfahren
Hungarian-13093-horen-1,lː# not old,hören
Hungarian-13094-vernehmen-1,lː# not old,vernehmen
Hungarian-13095-Gehorschenken-1,lː# not old,Gehör schenken
Hungarian-13096-dasHoren-1,lː# not old,das Hören
Hungarian-13097-horenlassen-1,lː# not old,hören lassen
Hungarian-13098-Halle-2,wrong year,Halle
Hungarian-13099-Saal-1,wrong year,Saal
Hungarian-13100-Eingangshalle-1,wrong year,Eingangshalle
Hungarian-13101-Foyer-1,wrong year,Foyer
Hungarian-13102-zweiterVorraumvonStadtwohnungen-1,wrong year,zweiter Vorraum von Stadtwohnungen
Hungarian-13103-ausdemdieWohnzimmergehen-1,wrong year,aus dem die Wohnzimmer gehen
Hungarian-13104-Stille-2,lː.ɡ not old,Stille
Hungarian-13105-besuchen-2,lː.ɡ not old,besuchen
Hungarian-13106-zuhoren-4,lː.ɡ not old,zühören
Hungarian-13107-horen-2,lː.ɡ not old,hören
Hungarian-13108-Gehorschenken-2,lː.ɡ not old,Gehör schenken
Hungarian-13109-schweigen-1,lː.ɡ not old,schweigen
Hungarian-13110-schweigen-2,lː.ɡ not old,schweigen
Hungarian-13111-unerwahntlassen-1,lː.ɡ not old,unerwähnt lassen
Hungarian-13112-horchen-1,lː.ɡ not old,horchen
Hungarian-13113-gehoren-1,lː.ɡ not old,gehören
Hungarian-13114-belauschen-1,lː.ɡ not old,belauschen
Hungarian-13115-belauschen-2,lː.ɡ not old,belauschen
Hungarian-13116-titokbankihallgatvagykihallgatniakar-1,lː.ɡ not old,titokban kihallgat vagy kihallgatni akar
Hungarian-13117-Zuhorgeschaft-1,lː.ɡ not old,Zuhörgeschaft
Hungarian-13118-alsZuruf-1,wrong year,als Zuruf
Hungarian-13119-alsJagdruf-1,wrong year,als Jagdruf
Hungarian-13120-halloalsZuruf-1,wrong year,hallo als Zuruf
Hungarian-13121-hallobeimFernsprechen-1,wrong year,halló beim Fernsprechen
Hungarian-13122-dasHallo-1,wrong year,das Halló
Hungarian-13123-Haufen-13,wrong year,Haufen
Hungarian-13124-Verbrechenskonkurrenz-1,wrong year,Verbrechenskonkurrenz
Hungarian-13125-Falle-3,oː# not old,Falle
Hungarian-13126-Netz-1,oː# not old,Netz
Hungarian-13127-Haufen-14,^(χ) (a) (l|l.t) (o|u|a) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m)?$,Haufen
Hungarian-13128-Menge-5,^(χ) (a) (l|l.t) (o|u|a) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m)?$,Menge
Hungarian-13129-niedrigerHugel-1,^(χ) (a) (l|l.t) (o|u|a) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m)?$,niedriger Hügel
Hungarian-13130-Sto-1,^(χ) (a) (l|l.t) (o|u|a) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m)?$,Stoß
Hungarian-13131-Kartoffelmiete-1,^(χ) (a) (l|l.t) (o|u|a) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m)?$,Kartoffelmiete
Hungarian-13132-haufenauchabstr-1,^(χ) (a) (l|l.t) (o|u|a) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m)?$,häufen auch abstr
Hungarian-13133-Fluarm-2,ɲ# not old,Flußarm
Hungarian-13134-bla-2,ɲ# not old,blaß
Hungarian-13135-schwach-5,ɲ# not old,schwach
Hungarian-13136-kranklich-3,ɲ# not old,kränklich
Hungarian-13137-Stumpf-1,ɲ# not old,Stumpf
Hungarian-13138-BodensenkenangesammeltesWasser-1,ɲ# not old,Bodensenken angesammeltes Wasser
Hungarian-13139-inBodensenkenangesammeltesWasser-1,ɲ# not old,in Bodensenken angesammeltes Wasser
Hungarian-13140-imAustrocknenbegriffenerTeichboden-1,ɲ# not old,im Austrocknen begriffener Teichboden
Hungarian-13141-gebrechlich-1,ɲ# not old,gebrechlich
Hungarian-13142-blutleerGesicht-1,ɲ# not old,blutleer Gesicht
Hungarian-13143-Korperteil-1,ɲ# not old,Körperteil
Hungarian-13144-gelblich-1,ɲ# not old,gelblich
Hungarian-13145-fahlgrau-1,ɲ# not old,fahlgrau
Hungarian-13146-hell-1,ɲ# not old,hell
Hungarian-13147-mattFarbe-1,ɲ# not old,matt Farbe
Hungarian-13148-imAustrocknenbegriffenTei-1,ɲ# not old,im Austrocknen begriffen Tei
Hungarian-13149-nichtklarsichtbar-1,ɲ# not old,nicht klar sichtbar
Hungarian-13150-verschwommen-1,ɲ# not old,verschwommen
Hungarian-13151-kaumwahrnehmbar-1,ɲ# not old,kaum wahrnehmbar
Hungarian-13152-nachgiebig-1,ɲ# not old,nachgiebig
Hungarian-13153-morastigBoden-1,ɲ# not old,morastig Boden
Hungarian-13154-verwassertAcker-1,ɲ# not old,verwässert Acker
Hungarian-13155-ansEchte-1,ɲ# not old,ans Echte
Hungarian-13156-RichtigekaumerinnerndAbbild-1,ɲ# not old,Richtige kaum erinnernd Abbild
Hungarian-13157-Nachbildung-1,ɲ# not old,Nachbildung
Hungarian-13158-Kopieusw-1,ɲ# not old,Kopie usw
Hungarian-13159-Pimpernulein-1,^(χ) (a) (j) (a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Pimpernüßlein
Hungarian-13160-Pimpernulein-2,^(χ) (a) (j) (a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,Pimpernüßlein
Hungarian-13161-europaischeBlasenkirche-1,^(χ) (a) (j) (a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,europäische Blasenkirche
Hungarian-13162-inanderenPflanzennamen-1,^(χ) (a) (j) (a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,in anderen Pflanzennamen
Hungarian-13163-Augenstar-1,^(χ) (a|ɯ|aː) (j) (o|u|a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u)?$,Augenstar
Hungarian-13164-inPflanzennamen-1,^(χ) (a|ɯ|aː) (j) (o|u|a) (ɡ|k) ?(ɛ r|a n|γ|ɯ|u)?$,in Pflanzennamen
Hungarian-13165-Pferdegeschirr-1,^(χ) (a|ɯ|aː) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Pferdegeschirr
Hungarian-13166-Hosentrager-1,^(χ) (a|ɯ|aː) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Hosenträger
Hungarian-13167-alsBenennungverschiedenerZug-1,^(χ) (a|ɯ|aː) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,als Benennung verschiedener Zug
Hungarian-13168-Schleppgerate-1,^(χ) (a|ɯ|aː) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,Schleppgeräte
Hungarian-13169-angeschirrtPferd-1,^(χ) (a|ɯ|aː) (m|i) ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ)?$,angeschirrt Pferd
Hungarian-13170-schnell-4,^(χ) (a) (m) (a) ?(r|v)? ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,schnell
Hungarian-13171-schnell-5,^(χ) (a) (m) (a) ?(r|v)? ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,schnell
Hungarian-13172-schnell-6,^(χ) (a) (m) (a) ?(r|v)? ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,schnell
Hungarian-13173-plotzlich-3,^(χ) (a) (m) (a) ?(r|v)? ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,plötzlich
Hungarian-13174-inkurzerZeiterfolgend-1,^(χ) (a) (m) (a) ?(r|v)? ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,in kurzer Zeit erfolgend
Hungarian-13175-inkurzerZeit-1,^(χ) (a) (m) (a) ?(r|v)? ?(ɛ r|a n|γ|ɯ|u|ɛ n|u z|m|o|i ʃ|y|i|i l|i r|ʃ|ɛ γ|n|t|v|j|r ɯ n|a γ|y n)?$,in kurzer Zeit
