ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Gothic-836-bauen-1,143,Gothic,836-bauen,timrjan,timrjan,t ɪ m r j a n,,557564,,,^ timrjan $,default,bauen,bauen-2,2945-timrjan
Gothic-135-bulle-1,144,Gothic,135-bulle,stiur,stiur,s t ɪ u r,,557564,,,^ stiur $,default,Stier;  Kalb,Stier-1,2778-stiur
Gothic-897-verbrennen-1,146,Gothic,897-verbrennen,ga-brannjan,gabrannjan,ɡ a β r a nː j a n,,557564,,,^ gabrannjan $,default,verbrennen,verbrennen-1,560-gabrannjan
Gothic-697-brennen-1,150,Gothic,697-brennen,brinnan,brinnan,b r ɪ nː a n,,557564,,,^ brinnan $,default,brennen,brennen-1,566-brinnan
Gothic-423-geschaft-1,152,Gothic,423-geschaft,gawaurki,gawaurki,ɡ a w ɔ r k ɪ,,557564,,,^ gawaurki $,default,Erwerb; Geschäft;  Gewinn,Geschaft-1,1147-gawaurki
Gothic-1011-kaufen-1,156,Gothic,1011-kaufen,bugjan,bugjan,b u ɣ j a n,,557564,,,^ bugjan $,default,kaufen,kaufen-1,580-bugjan
Gothic-1005-rechnen-1,157,Gothic,1005-rechnen,rahnjan,rahnjan,r a h n j a n,,557564,,,^ rahnjan $,default,rechnen,rechnen-1,2332-rahnjan
Gothic-990-rufen-1,158,Gothic,990-rufen,hropjan,hropjan,h r o p j a n,,557564,,,^ hropjan $,default,rufen,rufen-1,1441-hropjan
Gothic-990-rufen-2,159,Gothic,990-rufen,wopjan,wopjan,w o p j a n,,557564,,,^ wopjan $,default,rufen,rufen-2,3600-wopjan
Gothic-237-ruf-1,160,Gothic,237-ruf,hrops,hrops,h r o p s,,557564,,,^ hrops $,default,Ruf;  Geschrei,Ruf-1,1443-hrops
Gothic-989-nennen-1,162,Gothic,989-nennen,namnjan,namnjan,n a m n j a n,,557564,,,^ namnjan $,default,nennen,nennen-2,2152-namnjan
Gothic-873-tragen-1,168,Gothic,873-tragen,bairan,bairan,b ɛ r a n,,557564,,,^ bairan $,default,tragen,tragen-1,411-bairan
Gothic-873-tragen-2,169,Gothic,873-tragen,†dragan,dragan,d r a ɣ a n,,557564,,,^ dragan $,default,tragen,tragen-2,661-dragan
Gothic-878-fangen-1,171,Gothic,878-fangen,fāhan,fahan,ɸ a h a n,,557564,,,^ fahan $,default,fangen;  greifen,fangen-1,727-fahan
Gothic-878-fangen-2,172,Gothic,878-fangen,niman,niman,n ɪ m a n,,557564,,,^ niman $,default,fangen; nehmen;  annehmen;  aufnehmen;  empfangen,fangen-2,2206-niman
Gothic-915-lassen-1,173,Gothic,915-lassen,leitan,leitan,l i t a n,,557564,,,^ leitan $,default,lassen,lassen-1,1848-leitan
Gothic-915-lassen-2,174,Gothic,915-lassen,letan,letan,l e t a n,,557564,,,^ letan $,default,lassen,lassen-2,1864-letan
Gothic-98-hohle-1,177,Gothic,98-hohle,filigri*,filigri,ɸ ɪ l ɪ ɣ r ɪ,,557564,,,^ filigri $,default,Höhle,Hohle-2,820-filigri
Gothic-98-hohle-2,178,Gothic,98-hohle,groba,groba,ɡ r o β a,,557564,,,^ groba $,default,Grube;  Höhle,Hohle-3,1206-groba
Gothic-684-enden-1,180,Gothic,684-enden,ƕeilan,ƕeilan,ʍ i l a n,,557564,,,^ ƕeilan $,default,aufhören,aufhoren-1,1513-eilan
Gothic-684-enden-2,181,Gothic,684-enden,ga-ƕeilan,gaƕeilan,ɡ a ʍ i l a n,,557564,,,^ gaƕeilan $,default,aufhören; zur Ruhe kommen,aufhoren-2,1515-gaeilan
